libusea,libuseb,sex,age,par,inc,live,books
Y,N,male,75,no,30-under 75,A rural area,4
Y,Y,male,43,no,under 30,A small city or town,6
N,N,male,53,yes,75-under 150,A suburb near a large city,2
Y,Y,male,18,no,75-under 150,A rural area,2
N,N,female,29,no,,A small city or town,0
N,N,female,44,yes,150+,A suburb near a large city,4
N,N,female,23,no,30-under 75,A large city,3
Y,Y,female,20,no,under 30,A large city,0
N,Y,female,29,yes,,A small city or town,0
Y,Y,female,61,no,under 30,A rural area,0
Y,Y,female,47,no,30-under 75,A large city,5
N,N,male,17,no,under 30,A small city or town,0
Y,N,female,62,no,30-under 75,A rural area,12
Y,Y,male,24,no,75-under 150,A large city,12
N,Y,male,64,yes,75-under 150,A small city or town,3
Y,N,female,26,yes,under 30,A small city or town,0
Y,N,male,46,yes,,A rural area,5
N,N,female,50,no,,A large city,0
Y,Y,male,45,yes,75-under 150,A rural area,7
N,N,male,73,no,30-under 75,A suburb near a large city,25
N,N,male,29,yes,75-under 150,A small city or town,9
Y,Y,female,55,no,150+,A suburb near a large city,30
N,N,female,25,yes,under 30,A small city or town,0
Y,N,female,54,no,under 30,A small city or town,0
N,Y,male,66,no,30-under 75,A small city or town,25
Y,N,female,39,yes,150+,A large city,4
Y,Y,female,62,no,75-under 150,A suburb near a large city,5
Y,N,female,50,no,,A large city,13
Y,Y,female,69,no,30-under 75,A rural area,12
Y,N,female,16,no,30-under 75,A large city,1
Y,N,female,44,yes,under 30,A large city,0
Y,Y,female,16,no,30-under 75,A suburb near a large city,7
N,N,female,30,no,75-under 150,A small city or town,5
Y,Y,male,38,yes,30-under 75,A small city or town,10
N,N,male,39,yes,30-under 75,A small city or town,10
N,N,male,26,no,30-under 75,A large city,4
N,N,male,63,no,under 30,A rural area,0
N,N,female,77,no,under 30,A large city,25
N,N,male,30,yes,30-under 75,A rural area,12
N,N,female,83,no,under 30,A rural area,2
N,N,female,38,yes,30-under 75,A small city or town,5
N,N,male,64,no,75-under 150,A small city or town,2
N,N,female,72,no,,A small city or town,4
N,N,male,62,no,30-under 75,A small city or town,0
Y,Y,female,33,yes,30-under 75,A rural area,10
N,N,male,30,no,30-under 75,A small city or town,0
Y,N,male,74,no,30-under 75,A large city,2
N,N,female,26,no,30-under 75,A large city,4
Y,N,female,55,no,,A rural area,12
N,N,male,52,no,75-under 150,A suburb near a large city,4
Y,N,male,64,no,under 30,A large city,0
N,N,female,65,no,75-under 150,A suburb near a large city,30
N,N,female,21,no,150+,A suburb near a large city,5
N,N,male,53,no,under 30,A rural area,1
Y,Y,female,61,no,75-under 150,A small city or town,50
Y,Y,female,40,yes,150+,A small city or town,
N,N,female,70,no,under 30,A large city,15
Y,N,male,25,no,30-under 75,A small city or town,0
Y,Y,male,68,no,75-under 150,A small city or town,11
N,N,male,38,yes,30-under 75,A small city or town,0
N,N,female,67,no,30-under 75,A small city or town,3
N,N,male,40,yes,,A small city or town,0
N,N,male,50,no,30-under 75,A large city,1
Y,N,male,36,no,150+,A rural area,0
Y,N,male,16,no,75-under 150,A rural area,10
Y,N,female,32,yes,under 30,A small city or town,
N,N,female,24,no,30-under 75,A small city or town,20
Y,Y,female,50,no,,A large city,3
Y,N,female,45,no,under 30,A small city or town,10
Y,N,male,24,no,30-under 75,A large city,6
N,N,male,42,no,75-under 150,A small city or town,0
Y,N,female,26,yes,75-under 150,A small city or town,1
Y,N,female,75,no,,A small city or town,6
N,N,male,65,yes,75-under 150,A rural area,14
Y,N,female,36,yes,under 30,A small city or town,2
N,N,female,57,no,30-under 75,A suburb near a large city,12
N,N,male,62,no,under 30,A small city or town,25
Y,N,male,19,no,150+,A large city,12
N,N,male,23,no,30-under 75,A rural area,10
Y,N,male,55,no,150+,A large city,32
N,N,female,20,no,30-under 75,A small city or town,20
N,N,male,62,no,,A suburb near a large city,3
Y,Y,female,70,no,30-under 75,A rural area,50
Y,Y,male,40,yes,under 30,A large city,0
N,N,male,79,no,30-under 75,A rural area,0
N,N,male,23,no,30-under 75,A rural area,0
Y,N,male,30,no,under 30,A large city,50
Y,Y,female,57,yes,30-under 75,A rural area,3
N,N,male,69,no,150+,A suburb near a large city,50
Y,N,male,44,no,30-under 75,A large city,2
Y,Y,male,20,no,75-under 150,A rural area,4
